,,,,Marketwise Price & Arrival Report (03-09-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 03 Sep, 2026","Price on 02 Sep, 2026","Price on 01 Sep, 2026","Arrival on 03 Sep, 2026","Arrival on 02 Sep, 2026","Arrival on 01 Sep, 2026"
Cereals,Barley(Jau),2150.00,2401.13,2304.02,2394.11,235.52,144.72,177.41
Cereals,Maize,2400.00,2131.24,2123.48,2126.22,19350.09,16758.22,19413.37
Cereals,Paddy(Common),2369.00,2803.69,2755.48,2672.42,8719.86,7630.10,9530.18
Cereals,Ragi(Finger Millet),4886.00,3705.63,3491.01,5023.08,63.20,366.10,44.20
Cereals,Wheat,2585.00,2628.66,2635.15,2640.91,40497.40,44093.62,46244.82
Oil Seeds,Groundnut,7263.00,7224.35,7183.49,6949.53,737.51,911.02,594.40
Oil Seeds,Mustard,6200.00,7438.76,7495.97,7379.00,2233.24,2954.38,2558.71
Oil Seeds,Niger Seed(Ramtil),9537.00,-,11800.00,-,-,0.72,-
Oil Seeds,Safflower,6540.00,4792.93,5286.11,5613.16,28.30,24.90,45.30
Oil Seeds,Soyabean,5328.00,5590.59,5770.93,5869.16,4097.33,4867.28,5805.82
Pulses,Bengal Gram(Gram)(Whole),5875.00,6269.86,6113.10,6147.02,2091.73,1978.65,2345.28
Pulses,Green Gram(Moong)(Whole),8768.00,7751.10,7655.27,7808.74,6382.22,7977.13,4625.18
Pulses,Lentil(Masur)(Whole),7000.00,8573.15,7129.43,8052.87,534.35,909.54,585.30
Pulses,Red gram/Arhar/Tur(whole),8000.00,8134.15,8061.06,8117.52,2068.02,2362.27,1847.42
Vegetables,Onion,-,3426.37,3460.03,3327.78,19139.04,16321.19,13078.81
Vegetables,Potato,-,628.82,654.85,653.55,39712.83,34212.42,33139.33
Vegetables,Tomato,-,2092.92,2071.28,1937.10,6741.68,7208.53,7194.49

